player,total_shots,shots_with_features,goals,conversion_rate,total_xg_statsbomb,total_xg_our_model,avg_xg_per_shot_sb,avg_xg_per_shot_ours,goals_minus_xg_sb,goals_minus_xg_ours,shot_types,body_parts,avg_distance,avg_angle
Cristiano Ronaldo,228,228,35,0.15350877192982457,31.968425991799997,24.97729404382408,0.14021239470087718,0.10954953527993018,3.0315740082000033,10.022705956175919,"{'Open Play': 193, 'Free Kick': 26, 'Penalty': 9}","{'Right Foot': 133, 'Left Foot': 58, 'Head': 37}",18.94087484540574,24.889852563122965
Suárez,228,228,47,0.20614035087719298,34.8290884903,31.608800678513944,0.15275916004517545,0.1386350906952366,12.170911509699998,15.391199321486056,"{'Open Play': 216, 'Free Kick': 7, 'Penalty': 5}","{'Right Foot': 160, 'Left Foot': 51, 'Head': 17}",17.394498829291617,26.08208440542843
Torres,138,138,17,0.12318840579710146,17.150058852300003,20.30035261232406,0.12427578878478263,0.14710400443713087,-0.1500588523000026,-3.3003526123240583,"{'Open Play': 137, 'Free Kick': 1}","{'Right Foot': 73, 'Head': 39, 'Left Foot': 26}",15.540605953682096,31.948458309797235
Neymar,123,123,24,0.1951219512195122,20.4726230755,19.334836509265006,0.16644409004471544,0.15719379275825207,3.5273769245000004,4.665163490734994,"{'Open Play': 102, 'Free Kick': 14, 'Penalty': 7}","{'Right Foot': 78, 'Left Foot': 40, 'Head': 4, 'Other': 1}",16.304935472441972,25.92157159590494
Benzema,98,98,24,0.24489795918367346,17.413094785,19.637686500139537,0.17768464066326528,0.20038455612387282,6.586905215000002,4.362313499860463,{'Open Play': 98},"{'Right Foot': 65, 'Head': 19, 'Left Foot': 14}",13.306069340704832,35.745438081067746
Griezmann,92,92,22,0.2391304347826087,15.968187153,13.05133833307773,0.1735672516630435,0.1418623731856275,6.031812846999999,8.94866166692227,"{'Open Play': 85, 'Free Kick': 5, 'Penalty': 2}","{'Left Foot': 70, 'Head': 11, 'Right Foot': 11}",17.472209897828858,27.910969111086892
Bale,89,89,19,0.21348314606741572,9.1450776605,9.046653460199012,0.10275368157865168,0.10164779168762936,9.8549223395,9.953346539800988,"{'Open Play': 84, 'Free Kick': 5}","{'Left Foot': 54, 'Head': 22, 'Right Foot': 13}",18.940459071866567,25.908003405900484
