model,calibrated,roc_auc,brier,log_loss,mean_pred
Logistic Regression,False,0.7963109392998692,0.07812331134677969,0.2719251057059199,0.10602542123342383
Logistic Regression,True,0.7943943328322173,0.0789137268496376,0.2752185579278202,0.1055855944884583
Random Forest,False,0.7933823385852905,0.07966265023469993,0.27602955875684565,0.10544837994873404
Random Forest,True,0.7942202437897394,0.07885916534581225,0.27371597139981874,0.1048931170849195
XGBoost,False,0.7897232146924643,0.08026705221904182,0.2785206584666066,0.10463836044073105
XGBoost,True,0.7907303279382001,0.0802800894958,0.27798869600607545,0.10468185015338327
LightGBM,False,0.7931008675166116,0.07987459906646985,0.2772952137773382,0.10481431932815694
LightGBM,True,0.7919164112276043,0.07974860243184782,0.2926617514346407,0.10470678929257284
StatsBomb,True,0.8343420735794659,0.07145749590723566,0.24994298130876766,0.10301464089785124
